playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
5OhXxa4OZwYrFm6RZQeUq7,Jazz & Chill Out,127,villazon-mx,villazon-mx,15489
3lNSPiQHMfwPnJgNNyZavP,Dinner Jazz,62,vervemusicgroup,Verve Jazz,14753
1w34JrNa6VEFkKc3cJsn9c,"Soul, Jazz & Blues  ",55,legrospolo,Paul Paul,14590
37i9dQZF1DX010dXHHQF5e,Duerme con Jazz,90,spotify,Spotify,14120
4wAG4IGtyo4cdD80zKKjoB,Coffee jazz,45,sugarbelletruck,sugarbelletruck,13519
37i9dQZF1DX55mNLGdHona,Jazz in Cucina,90,spotify,Spotify,12109
38CeCKRz1m2gjRuGLU4UNb,Chill Jazz,88,89oqloy6tq7yyf3k2t781c34n,JazzFy,12006
37i9dQZF1DX41cLva7hoYQ,Workday Jazz,89,spotify,Spotify,11379
6y6NN5sdrPMgnHQjFXHcBm,Jazz Lounge Bar Playlist,368,jazz_playlist_guy,jazz_playlist_guy,10004
37i9dQZF1DX9GSZDbrndTa,Jazz-Blues,50,spotify,Spotify,9725
4vCAD6vcB6mSElLM1Whb4r,Chill Jazz Vibes 🎷 mellow jazz beats & jazzhop,171,vcdikomxn7xuhp0ci0pn31pn9,Chill Beats Music,9036
7orAWQDfHhNJzoRHfVJjBi,Winter Jazz Cafe Lounge 2021 ⛄❄🔔| Cosy & Warm Coffeehouse Music | 🔥Fireplace Jazz | Cocktail Jazz,236,1142530492,Florito,8620
37i9dQZF1DX4VsZErMojE8,Subsuelo Jazz Bar,101,spotify,Spotify,7871
6HhLjsFt1JywDYIbnN7ghQ,Saxophone Jazz,69,c5pphlzzercy3wzg3rxoqeb65,BGMC Records,7786
37i9dQZF1DX5MImizrZfZg,Smooth Jazz 2000,50,spotify,Spotify,7743
1lw4EI1LoYNtThG3KScJ0f,Jazz lofi chill relax,168,lmd4t9x2bnl10c1m5efz4xn9p,Background Beats,6600
6g9DvA0J2xDYcOiNNIJaT6,Jazz Beats,347,c5pphlzzercy3wzg3rxoqeb65,BGMC Records,6537
66XF0sumnRWVXAZxAO7RKV,JAZZ CHILLOUT,777,1296362009,1296362009,6315
4d9BnsOafG3Y64EbIJJWfW,JAZZ INSTRUMENTAL - BOSSA NOVA,285,prueba381,prueba381,4688
4T0R5nCnC3m6yZZWQ045pt,Coffee Shop Jazz,468,gilmour1962,JOHN ARNOLD,4212
6UHVFlw8kGYPP9N25HQrov,Jazz For Work,216,c5pphlzzercy3wzg3rxoqeb65,BGMC Records,3773
6GNoAopv64BlP5oFXrGbza,Jazz Covers Popular Songs,124,o0fbzeszsjwj57ln417mucadz,Playlists Kool,3320
3Bq6Lo4gnqelM6Q9ogblmt,Piano Jazz,967,ruw81ukowvfvjubi81t0zqupt,Overmoon,3070
37i9dQZF1DWTG7FCdM1HiA,Cool Jazz,40,spotify,Spotify,2635
582DJmd0ot1ayqJePPSGtA,Relaxing Jazz,80,greenhillmusic,Green Hill,2510
4Gn6rgEi6D1kbXIn5qKHxV,Smooth Jazz Piano,129,funkyjlo,funkyjlo,2408
1WxyPZDwKySzXaiE7RHgtV,Jazz Coffee,60,zaz2169,zaz,1574
6T2AASqy6p1EmHLXP9hDOu,Jazz Christian Songs,90,tertullanojrt,tertullanojrt,1505
1idicUefIVcVQIDqkExrSW,Jazz Rythms (Greenhills)  🍻👌,248,12151019285,Markoptions Manansala,902
4uos9MJcD8i0xYSIBB82wl,Jazz Fusion 80s,443,rick.modina1966,rick.modina1966,878
1JLuxFpcrhA6msxMGTK9Ik,Jazz Music 2020 Best Jazz Covers Of Popular Songs 2020 Bossa Nova Jazz 2020,33,217243pznudxarof4mpdp4xja,Jaf Christian Datinguinoo,582
14TYbeYJ0twa757h9tPmLw,Jazz Rhythms / Rhythm and Booze / East St. Louis / Reasons,179,docona02,Ona Fajardo,553
30xn2cGXvDhafAmYI8TA79,"Jazz, Rock, Live",995,ybl36rtzshptatbdk3bd94sn6,sabo_river,3
