track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
2scfoYmaEbyFnSTezCxRXZ,Tagpuan,4GBFKKuwmZUnAJt6nBal7A,Kamikazee,0HYAcVSUVkfxzHKgHu6DqR,255453,2012,46,0.441,0.875,2,-3.294,1,0.0366,0.000781,0.0,0.383,0.622,138.03,2scfoYmaEbyFnSTezCxRXZ,2scfoYmaEbyFnSTezCxRXZ
4ztvNcm17Ol4yhhUElRIBs,Pangako,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2G4Y1Yd6o4Y4owkzUpYnYO,216026,2010-09-17,49,0.525,0.72,5,-6.387,1,0.0356,0.00063,0.00182,0.283,0.521,119.964,4ztvNcm17Ol4yhhUElRIBs,4ztvNcm17Ol4yhhUElRIBs
5QracIS4QLKeMoNZjza03E,Taralets,6MXu7TWZnmykwkXiRJeUMh,Imago,2WNYwZg6JlIjSkQGq0fggk,164906,2007,32,0.541,0.817,7,-4.937,1,0.0549,0.0188,0.0,0.194,0.908,179.687,5QracIS4QLKeMoNZjza03E,5QracIS4QLKeMoNZjza03E
7oapDOeFJcHPGnkTPq6Rd2,Especially for You,5elcNQkZ6FCZA3grSOMngY,MYMP,5wH5iH4hv1wEX2qv1XVvw0,223013,2005-01-28,52,0.698,0.398,5,-8.9,1,0.0526,0.499,0.0,0.18,0.758,163.028,7oapDOeFJcHPGnkTPq6Rd2,7oapDOeFJcHPGnkTPq6Rd2
3Ubzsaa5VCyTToWZAyCUhE,U.T.I,2uSQi2dS9WLbu4IlzTPLKr,Rocksteddy,0RcEcbv1R0tQMRkSOfYPxM,370253,2017-08-14,39,0.49,0.284,2,-12.277,1,0.0252,0.18,1.33e-05,0.121,0.175,139.978,3Ubzsaa5VCyTToWZAyCUhE,3Ubzsaa5VCyTToWZAyCUhE
6kd4ndAtdYEEfBT99OKlK7,Olats,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,05aL6sTD3N4TK9ixy4jfCA,227786,2007-09-24,33,0.713,0.781,4,-5.516,1,0.0387,0.665,0.000511,0.245,0.758,97.94,6kd4ndAtdYEEfBT99OKlK7,6kd4ndAtdYEEfBT99OKlK7
1i9Ym2jbzbfC28F39H6hSD,Batang-Bata Ka Pa,5I3uAFbAOhuVSKdrcG5mgy,Sugarfree,2HEmuY8AORVaC1jGepwlbG,359600,2007,24,0.673,0.592,8,-3.548,1,0.0278,0.516,9.53e-06,0.0937,0.453,128.009,1i9Ym2jbzbfC28F39H6hSD,1i9Ym2jbzbfC28F39H6hSD
0ztt8GmEJEwIvAM0SzoNNA,Paano,2TnJoEY5ctCfKaCwosowyY,Shamrock,7aRIdqhVpc1VujEMX501my,227026,2007,35,0.569,0.55,2,-5.741,1,0.0257,0.698,0.00172,0.623,0.411,78.018,0ztt8GmEJEwIvAM0SzoNNA,0ztt8GmEJEwIvAM0SzoNNA
7gmP7nvw0YrJ190k0wVCiY,Saan Na Nga Ba'ng Barkada,1tXFYQZSAswt4JLB42lpye,Sponge Cola,36zJTya3TD3IX06lWmQIrF,264120,2012,33,0.471,0.716,4,-4.754,1,0.0705,0.148,0.0,0.321,0.598,133.031,7gmP7nvw0YrJ190k0wVCiY,7gmP7nvw0YrJ190k0wVCiY
0pIcavpnI5CfkwyHztuBlb,Power of Two,5elcNQkZ6FCZA3grSOMngY,MYMP,2bLoVowyZNosgVxjwylK4m,309498,2011,53,0.783,0.302,0,-8.646,1,0.0447,0.77,0.0,0.104,0.697,111.878,0pIcavpnI5CfkwyHztuBlb,0pIcavpnI5CfkwyHztuBlb
