artist_id,artist_name,total_followers,genres,popularity
49e4v89VmlDcFCMyDv9wQ9,Dean Martin,1094901,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",72
0qSX3s5pJnAlSsgsCne8Cz,Brett Eldredge,1274287,"['contemporary country', 'country', 'country road', 'modern country rock']",68
4x1nvY2FN8jxqAFA0DA02H,John Lennon,4150123,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']",75
7CyeXFnOrfC1N6z4naIpgo,The Ronettes,171578,"['adult standards', 'brill building pop', 'classic girl group', 'motown', 'soul']",62
5v8jlSmAQfrkTjAlpUfWtu,Perry Como,320530,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']",61
0MHgLfmQdutffmvWe5XBTN,Burl Ives,56887,"['adult standards', 'american folk revival', 'lounge']",47
77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,1485025,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",77
1x9aBTOQP8VjLBgKVm81K6,Nef Medina,755,['opm'],28
7K78lVZ8XzkjfRSI7570FF,José Feliciano,228917,"['latin pop', 'puerto rican pop']",65
2lolQgalUvZDfp5vvVtTYV,Tony Bennett,635049,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",66
4ivXbUYuZslF08Ca5EuJGc,Kithara,9192,['opm'],28
5KEG7G8LDYlHgFDqZyEEs2,Chris Rea,586623,"['blues rock', 'classic rock', 'classic uk pop', 'mellow gold', 'soft rock', 'sophisti-pop']",62
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,5429763,"['adult standards', 'rock-and-roll', 'rockabilly']",82
3rXT3DX9OeNMfH8Thivxrk,Tres Hermanas,5125,['acoustic opm'],38
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,4025982,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",81
4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,1274961,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop']",75
4QvYFzlTFZFg2904xx8gOu,Ariel Rivera,252222,"['classic opm', 'opm', 'soft rock']",54
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,6110794,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",83
7or90S16MNx8VogdeOqlKq,Cocoy Claravall,2436,['pinoy singer-songwriter'],23
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,4980028,"['adult standards', 'funk', 'motown', 'quiet storm', 'soul']",81
0hItVPjwJLVZrFqOyIsxPf,Judy Garland,174951,"['adult standards', 'hollywood', 'lounge', 'torch song', 'vocal jazz']",54
0wi4yTYlGtEnbGo4ltZTib,Shakin' Stevens,96379,"['classic uk pop', 'new wave pop', 'rock-and-roll', 'rockabilly', 'soft rock']",55
293zczrfYafIItmnmM3coR,Chuck Berry,1388017,"['adult standards', 'blues rock', 'classic rock', 'folk rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",70
0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,695469,"['opm', 'pinoy hip hop', 'pinoy r&b', 'tagalog rap']",61
72nLe76yBFSlP6VBzME358,SHAUN,243807,['k-pop'],68
3KwmxIhSe9UTSEF37kwngR,SHAED,132448,"['electropop', 'pop']",70
0iqkVK6sTXi7DZWWOeKy8Q,PDL,110640,"['opm', 'pinoy hip hop', 'pinoy r&b']",57
5KnoVkIUGmK0PiDKMjz2LM,Feder,171150,"['francoton', 'new french touch', 'tropical house']",65
7F9FobwEoTXZRdi1MAUFjX,Alex Gonzaga,52118,['brazilian gospel'],34
6ioOEWNNGK40H8xrGj6XPW,XYLØ,250486,"['alt z', 'electropop', 'indie electropop', 'indie poptimism', 'la pop', 'pop', 'vapor soul']",60
01pKrlgPJhm5dB4lneYAqS,Sigma,271119,"['dance pop', 'drum and bass', 'edm', 'house', 'liquid funk', 'pop dance', 'tropical house', 'uk dance']",69
1z7b1Pr1rSlvWRzsW3HOrS,Russ,3996331,"['hawaiian hip hop', 'pop rap', 'rap']",83
4utLUGcTvOJFr6aqIJtYWV,Skylar Grey,457343,"['piano rock', 'viral pop']",74
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,5699191,"['melodic rap', 'pop rap', 'rap', 'trap']",87
3hteYQFiMFbJY7wS0xDymP,Gesaffelstein,386566,"['dark clubbing', 'destroy techno', 'electro house']",69
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,4652681,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",83
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,7801347,"['pop', 'uk pop']",87
4sTQVOfp9vEMCemLw50sbu,Galantis,3086957,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",79
2uhjpR62cyl0U8HD38yFQ8,JM De Guzman,108807,['opm'],46
2KC9Qb60EaY0kW4eH68vr3,ITZY,2001253,['k-pop girl group'],80
5e4Dhzv426EvQe3aDb64jL,Shania Twain,2232047,"['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']",75
6Ad91Jof8Niiw0lGLLi3NW,YUNGBLUD,1729933,"['british indie rock', 'modern rock', 'pop', 'rock']",81
7bT6URJrhJleZUfkrysELD,Armi Millare,9697,['pinoy singer-songwriter'],39
7aerdWadzubpu06Oxysg6R,Paolo Sandejas,4062,"['opm', 'pinoy indie']",33
43CiK1548VVp2DT95joswS,Billy Crawford,13636,"['opm', 'pinoy r&b']",41
1MIVXf74SZHmTIp4V4paH4,Mabel,1298193,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",79
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,5237557,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",81
0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,3502576,"['k-pop', 'k-pop boy group']",78
0haZhu4fFKt0Ag94kZDiz2,Sofía Reyes,1924919,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",73
5qa31A9HySw3T7MKWI9bGg,FLETCHER,441404,"['alt z', 'dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'pop', 'post-teen pop', 'social media pop']",74
6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,578092,"['contemporary country', 'country', 'pop', 'texas country']",82
1UvsiRB2EarPibq6XRl9Sv,Pricetagg,55893,"['pinoy hip hop', 'pinoy trap', 'tagalog rap']",48
