track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
5p0KCAuu5nrHpTuAIhHdLw,Overprotected - Radio Edit,26dSoYclwsYLMAKD3tpOr4,Britney Spears,5ax3GTsfX5uCUaNgnJsSG5,198600,2001-10-31,62,0.682,0.894,0,-1.73,0,0.0727,0.0381,0.0,0.416,0.845,95.992,5p0KCAuu5nrHpTuAIhHdLw,5p0KCAuu5nrHpTuAIhHdLw
7mS8RbJji2UZAaguRGsOCH,Me Against the Music (feat. Madonna) - LP Version / Video Mix,26dSoYclwsYLMAKD3tpOr4,Britney Spears,0z7pVBGOD7HCIB7S8eLkLI,223773,2003-11-13,61,0.804,0.836,6,-6.635,0,0.089,0.32,0.0,0.213,0.85,120.046,7mS8RbJji2UZAaguRGsOCH,7mS8RbJji2UZAaguRGsOCH
38iU2jg98IZZEIJPrP7aWD,Till the World Ends,26dSoYclwsYLMAKD3tpOr4,Britney Spears,0oFBaXLFsUVa2gEmJf4FcJ,237946,2011-03-28,67,0.693,0.705,8,-5.747,1,0.0665,0.0228,0.0,0.202,0.45,131.951,38iU2jg98IZZEIJPrP7aWD,38iU2jg98IZZEIJPrP7aWD
5cCAZS9VhLGEDV4NCfieeg,I Wanna Go,26dSoYclwsYLMAKD3tpOr4,Britney Spears,0oFBaXLFsUVa2gEmJf4FcJ,210266,2011-03-28,67,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,5cCAZS9VhLGEDV4NCfieeg,5cCAZS9VhLGEDV4NCfieeg
2JxftzENN2rhpXxnOmtQBR,My Prerogative,26dSoYclwsYLMAKD3tpOr4,Britney Spears,3caKTh2tJMowPiMz0cguLI,213893,2004-11-08,56,0.749,0.938,10,-4.423,0,0.118,0.0127,1.96e-06,0.103,0.619,111.014,2JxftzENN2rhpXxnOmtQBR,2JxftzENN2rhpXxnOmtQBR
29Srmzqyig5Tg5EitFXsb8,Radar,26dSoYclwsYLMAKD3tpOr4,Britney Spears,1ePkYcH5ZQCb1b4tQeiEDj,229213,2007-10-25,59,0.642,0.722,4,-4.845,0,0.167,0.293,0.0,0.337,0.513,127.959,29Srmzqyig5Tg5EitFXsb8,29Srmzqyig5Tg5EitFXsb8
7Dyq1bhhjknLKEGg4k5NLr,Hold It Against Me,26dSoYclwsYLMAKD3tpOr4,Britney Spears,0oFBaXLFsUVa2gEmJf4FcJ,228826,2011-03-28,60,0.648,0.722,0,-4.813,0,0.0427,0.0103,0.0,0.24,0.389,132.973,7Dyq1bhhjknLKEGg4k5NLr,7Dyq1bhhjknLKEGg4k5NLr
52K4Nl7eVNqUpUeJeWJlwT,Break the Ice,26dSoYclwsYLMAKD3tpOr4,Britney Spears,1ePkYcH5ZQCb1b4tQeiEDj,196053,2007-10-25,61,0.712,0.911,5,-3.866,0,0.0445,0.689,8.02e-06,0.107,0.85,117.533,52K4Nl7eVNqUpUeJeWJlwT,52K4Nl7eVNqUpUeJeWJlwT
29viePXNqWUw1cxqzOcuOD,I Love Rock 'N' Roll,26dSoYclwsYLMAKD3tpOr4,Britney Spears,5ax3GTsfX5uCUaNgnJsSG5,186533,2001-10-31,58,0.709,0.728,9,-1.643,1,0.185,0.000811,0.105,0.564,0.572,180.107,29viePXNqWUw1cxqzOcuOD,29viePXNqWUw1cxqzOcuOD
4l1MNtoCiTxBwf6yxD7kFd,Born to Make You Happy,26dSoYclwsYLMAKD3tpOr4,Britney Spears,3WNxdumkSMGMJRhEgK80qx,243533,1999-01-12,60,0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,4l1MNtoCiTxBwf6yxD7kFd,4l1MNtoCiTxBwf6yxD7kFd
2xkVbGwniUGIptJl7EhE0h,Boys (feat. Pharrell Williams) - Co-Ed Remix,26dSoYclwsYLMAKD3tpOr4,Britney Spears,3caKTh2tJMowPiMz0cguLI,224653,2004-11-08,52,0.813,0.777,6,-5.338,0,0.0977,0.065,0.00128,0.0707,0.924,107.007,2xkVbGwniUGIptJl7EhE0h,2xkVbGwniUGIptJl7EhE0h
