playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
31t0f17KSwPeXgoaJmdzOF,Relaxing Classical Christmas ,227,cantstopshopping,Susan Wayman Knudson,7064
4Sx3lCvfMSvzg9UD8crYQh,dark classical,45,2k4lyw43zojzr1by9kt15ulas,sophie,6943
37i9dQZF1DWZeHy2Bl4xxz,Best of Classical 2O2O,85,spotify,Spotify,6265
2bKGFDfzL8eD9XgH4IsQPC,Classical & Symphony Orchestra,69,wijayadriansyah,Adriansyah Wijaya,5850
1Z7fO3bkVteGsTbVluOQoH,Orchestral/Classical Music,55,l7o1epshviqhwzmdngqe0oolj,Maxwlewis,5804
6JDsZL1VgPJGtmDsJ85fkc,Light Classical,97,trefton,trefton,5366
786hH2BXw7n4SNg0MXuAio,Romantic Classical,70,camcocel,Peter Ho,4754
54c1pGIMBftXcDLzPqHTaW,Classical Guitar For Sleeping,393,1247264631,Belem Patton,4600
76KISV91ZXzaHdLi3GQoix,Classical Lullaby,69,unclassifiedofficial,unCLASSIFIED,4507
6RpbpgcOct72SmEKrUaEHd,Modern Classical Vibes,119,smaks2,smaks2,4376
4lAveXpFWhV83W3jFOOX3A,Soothing classical,33,jonjonjon11,jonjonjon11,4186
37i9dQZF1DX8dPxJstGRJY,Classical Crossover,44,spotify,Spotify,4008
6Fqn487vLR9Jv3lYtocdmD,Classical Jollies,70,0lwvhm2us3xjmlz10izeharvp,hoursbefore,3730
6z8qfnRmRJzanIt2npbJSr,light academia classical,37,anna-834,umi chan :P,3630
6cdeg82hgENA3J904IM7TR,Relaxing Classical Piano,187,1155850710,Stephan Beneking,2353
54uxMvCa3Bx5zzzCzRLwq9,TikTok Classical,57,ne3cfbhh6zqjv9aim15c65yq8,Movie Soundtracks,2100
05zROVnolaaft8gKuOq7EC,Classical Instrumental,194,jezielpaolo,Jeziel Paolo Macatangay Sespeñe,2089
37i9dQZF1DXdLD1ufgw60J,Classical Cooking,39,spotify,Spotify,1787
4VRtNCzHb2GdgtJ9Depa6H,Classical Music for Pregnant,25,21bzje43pmhacbybj2z2pgywy,Chemaima Macion-Belleza Al-ag,1670
1BSDOWz9fpkkrrBLjodjoN,Classical Songs for Baby,151,12173992602,Maeb Diez-Tbdlng,1400
7qxZkasLyC7jJJh6aZXggI,Classical Piano,20,zuckerboot,zuckerboot,1120
77augBFphYjY7ohfwqHWNN,Sleepy Classical 🌜,29,jennacarter_,jennacarter_,970
10S1fKV4i0azh2cF5onAyD,classical beauty 111,45,31wrxtofv36hk5ybrwtcgpnzziee,zara iqbal lol,112
67Ss2DBi6e2uUCCa69SfZP,classical but make it ✨spicy✨,161,tllgg0gfpm7v7754gx8gifmcd,Caroline Davidson,109
0IBElTLANYNHGAFpc5OJlG,Classical Music for Yoga,23,b1m0g9mxiadk2chyvsayxp0o4,Sal&Dave,64
3lfn8uvu3KNPeTHjrLLVMS,Classical Music,16,mo3koxtwdf083750xn2de1j5g,Ohne Buchstaben,53
