track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id_x,playlist_name_x,playlist_id_y,playlist_name_y,duration_mins,genre
22vgEDb5hykfaTwLuskFGD,Sucker,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,1Uf67JAtkVWfdydzFFqNF2,181026,2019-06-07,83,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,22vgEDb5hykfaTwLuskFGD,22vgEDb5hykfaTwLuskFGD,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop,3.0171,post-teen pop
22vgEDb5hykfaTwLuskFGD,Sucker,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,1Uf67JAtkVWfdydzFFqNF2,181026,2019-06-07,83,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,22vgEDb5hykfaTwLuskFGD,22vgEDb5hykfaTwLuskFGD,6p7T58tjzaA0OsQkGO9zdv,Post-Teen Pop,3.0171,post-teen pop
22vgEDb5hykfaTwLuskFGD,Sucker,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,1Uf67JAtkVWfdydzFFqNF2,181026,2019-06-07,83,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,22vgEDb5hykfaTwLuskFGD,22vgEDb5hykfaTwLuskFGD,6KJMqtyLSLuooDKFJnCiiz,post-teen pop,3.0171,post-teen pop
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene,49yHvRh1cOfLcEKukEP7Ox,188453,2011-01-01,77,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,0laYHRpNTS6i8FXdupHkJ4,0laYHRpNTS6i8FXdupHkJ4,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop,3.1408833333333335,post-teen pop
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene,49yHvRh1cOfLcEKukEP7Ox,188453,2011-01-01,77,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,0laYHRpNTS6i8FXdupHkJ4,0laYHRpNTS6i8FXdupHkJ4,3IdDjr6DGMU0qqsJsd38mf,Post-Teen Pop,3.1408833333333335,post-teen pop
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene,49yHvRh1cOfLcEKukEP7Ox,188453,2011-01-01,77,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,0laYHRpNTS6i8FXdupHkJ4,0laYHRpNTS6i8FXdupHkJ4,4LxPfk1JbkeQm7ZjPDe9fz,A ♀Filter for Post-Teen Pop,3.1408833333333335,post-teen pop
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene,49yHvRh1cOfLcEKukEP7Ox,188453,2011-01-01,77,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,0laYHRpNTS6i8FXdupHkJ4,0laYHRpNTS6i8FXdupHkJ4,6p7T58tjzaA0OsQkGO9zdv,Post-Teen Pop,3.1408833333333335,post-teen pop
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene,49yHvRh1cOfLcEKukEP7Ox,188453,2011-01-01,77,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,0laYHRpNTS6i8FXdupHkJ4,0laYHRpNTS6i8FXdupHkJ4,60ukjAyIy4Yb8LnYiRPhrh,Post-teen pop,3.1408833333333335,post-teen pop
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene,49yHvRh1cOfLcEKukEP7Ox,188453,2011-01-01,77,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,0laYHRpNTS6i8FXdupHkJ4,0laYHRpNTS6i8FXdupHkJ4,3vjzx5FTf5J1LW0QbIxXyK,post-teen pop,3.1408833333333335,post-teen pop
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene,49yHvRh1cOfLcEKukEP7Ox,188453,2011-01-01,77,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,0laYHRpNTS6i8FXdupHkJ4,0laYHRpNTS6i8FXdupHkJ4,67YtTJkncDCWDiRc3fuVAQ,Post-teen pop,3.1408833333333335,post-teen pop
4yyX2Iu4xJjW9xMvBZKSBi,Met Him Last Night (feat. Ariana Grande),6S2OmqARrzebs0tKUEyXyp,Demi Lovato,3XsdVkuj3zMVHPRvodOgeE,204631,2021-04-01,69,0.538,0.512,4,-4.548,0,0.0262,0.22,0.0,0.101,0.12,144.978,4yyX2Iu4xJjW9xMvBZKSBi,4yyX2Iu4xJjW9xMvBZKSBi,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop,3.4105166666666666,post-teen pop
