streams,danceability,energy,liveness,valence,tempo,position,type_vals,song_type
30162,0.384,0.8845750262329487,0.062346009641135514,0.21247357293868924,0.2612326019271711,170.0,0.38584865220319337,LOW
204958,0.794,0.7733473242392446,0.18157471880021428,0.47568710359408034,0.35317934013463126,77.5,0.5561522866583848,HIGH
99683,0.647,0.9601259181532006,0.9196572040707017,0.7681465821000705,0.3226083674833968,175.33333333333334,0.8237324260809932,HIGH
27868282,0.5500000000000057,0.587754070964978,0.11208315975321628,0.46173948790227415,0.6977988307164266,148.62345679012347,0.4278941796551186,LOW
4586141,0.7519999999999997,0.6107030430220353,0.24477771826459552,0.7748414376321345,0.21812353093195827,15.657142857142857,0.5955805497296912,HIGH
2942622,,,,,,79.14285714285714,,
2818557,0.8840000000000002,0.336831059811123,0.07027316550615956,0.36363636363636453,0.13810162566607995,161.15384615384616,0.4136851472384118,LOW
557263,0.8369999999999999,0.6411332633788037,0.34333154793786835,0.25581395348837216,0.5747055710752041,137.61111111111111,0.519319691201261,HIGH
18550703,0.7210000000000012,0.7555089192025171,0.3754686663095869,0.7050739957716701,0.23637997021868468,23.683673469387756,0.6392628953209438,HIGH
15122980,0.7002089552238794,0.7300590437111383,0.2799846509285387,0.7600265059480592,0.23640926662911055,73.70149253731343,0.6175697889529039,HIGH
258937,0.9800000000000002,0.40713536201469047,0.15907873594001073,0.7737843551797041,0.41485250864519607,179.11111111111111,0.5799996132836014,HIGH
2827489,0.5050000000000001,0.42287513116474346,0.08162828066416707,0.6194503171247357,0.7583221550843591,109.92,0.40723843223841155,LOW
392158,0.6329999999999998,0.4753410283315845,0.08730583824317086,0.6976744186046508,0.6607206586347357,148.26666666666668,0.4733303212948515,LOW
2630429,0.6109999999999994,0.5194123819517314,0.08944831280128536,0.7811839323467225,0.6605729826849961,125.43589743589743,0.5002611567749347,HIGH
21172,0.713,0.8436516264428122,0.2137118371719336,0.8594080338266383,0.5994659053151036,187.0,0.657442874360346,HIGH
529999,0.576,0.8289611752360968,0.14622388859132301,0.43657505285412257,0.2362815195855229,140.13333333333333,0.4969400291703856,LOW
302613,0.721,0.6252027091481447,0.26074889224326825,0.4661733615221987,0.46397657769936534,186.1818181818182,0.5182812407284029,HIGH
1630827,0.749,0.45750262329485825,0.05602570969469737,0.4101479915433402,0.5319287709669079,139.52941176470588,0.418169081133224,LOW
1856526,0.6081886792452833,0.889702825239067,0.1870521773402999,0.5885954764849022,0.2795837767288246,106.47169811320755,0.568384789577388,HIGH
24794,0.643,0.7796432318992657,0.4793786823781467,0.5972515856236785,0.3471615451826875,163.0,0.6248183749752727,HIGH
15792031,0.5960000000000022,0.8698845750262246,0.10980182110337462,0.12684989429175383,0.4165815478900775,123.00982800982801,0.4256340726053388,LOW
19249079,0.8529999999999935,0.4512067156348391,0.11087305838243301,0.5063424947145972,0.4045582643153352,145.66367137355584,0.48035556718296574,LOW
1346433,0.9309999999999999,0.37985309548793283,0.12265666845206209,0.3636363636363635,0.45167919861184563,124.28888888888889,0.44928653189408957,LOW
271611,0.8200000000000001,0.6988457502623294,0.34547402249598275,0.6881606765327695,0.5504313368365351,132.0,0.6381201123227703,HIGH
762399,0.40900000000000014,0.685204616998951,0.1558650241028388,0.14376321353065533,0.230103742354693,147.67857142857142,0.34845821365811125,LOW
154251,0.701,0.6694648478488984,0.11730048205677558,0.3192389006342495,0.29183844251098345,185.66666666666666,0.45175105763498086,LOW
529633,0.5760000000000002,0.42602308499475333,0.14729512587038035,0.28435517970401675,0.17502061310131808,187.52173913043478,0.35841834764228764,LOW
923392,0.7910000000000003,0.5897166841552989,0.13551151580074985,0.5327695560253701,0.26757036143688695,162.22222222222223,0.5122494389953548,HIGH
1517209,0.6169999999999998,0.6474291710388249,0.07648634172469208,0.19978858350951392,0.3280436628558062,130.07246376811594,0.3851760240682577,LOW
210379,0.7969999999999999,0.8593913955928646,0.0701660417782539,0.5158562367864692,0.7234275587934874,191.8181818181818,0.5606034185393968,HIGH
157610,0.604,0.6012591815320043,0.09159078735940011,0.48731501057082455,0.5117894633209861,96.33333333333333,0.4460412448655573,LOW
250298,0.6230000000000001,0.49108079748163697,0.14086770219603642,0.49471458773784355,0.2304175537478926,133.16666666666666,0.4374157718538793,LOW
