artist_id,artist_name,total_followers,genres,popularity
6vXTefBL93Dj5IqAWq6OTv,French Montana,3941926,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",82
7blkMNJv8n9ceP9zlA4W2U,Shawn Hook,59826,['canadian pop'],52
4xRYI6VqpkE3UwrDrAZL8L,Logic,5343787,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",84
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,11396978,"['melodic rap', 'philly rap', 'rap', 'trap']",92
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,15096389,"['dance pop', 'pop', 'post-teen pop']",90
5pUo3fmmHT8bhCyHE52hA6,Liam Payne,7688897,"['dance pop', 'pop', 'post-teen pop', 'social media pop']",76
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,21585836,"['dance pop', 'electropop', 'pop', 'post-teen pop']",86
4iSU0hKfGnU2nscL5dLi9p,Claudia,17072,['pinoy r&b'],34
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,7840669,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",82
5CCwRZC6euC8Odo6y9X8jr,Rita Ora,6620195,"['australian pop', 'dance pop', 'edm', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']",80
4VkqlQl3hGhxjchI34xp2V,Thyro,7997,['opm'],56
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,5715863,"['dance pop', 'pop', 'pop rap']",87
06HL4z0CvFAxyc27GXpf02,Taylor Swift,39799162,"['pop', 'post-teen pop']",98
2XnBwblw31dfGnspMIwgWz,Axwell /\ Ingrosso,2291439,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",73
20gsENnposVs2I4rQ5kvrf,Sam Feldt,623903,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",81
1IueXOQyABrMOprrzwQJWN,Sigala,1273899,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house']",79
7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,634527,"['opm', 'pinoy rock']",59
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,21841790,"['k-pop', 'k-pop girl group']",88
00TKPo9MxwZ0j4ooveIxWZ,Loote,167900,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'nyc pop', 'pop', 'pop dance', 'pop edm', 'post-teen pop', 'tropical house']",69
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,1726297,"['pop rap', 'seattle hip hop']",81
4DTbdShHu2RPYEEMUp2XWV,Anjulie,23542,['canadian pop'],67
6eouuqqGggqDlYRV63cgPo,Secondhand Serenade,853270,"['neo mellow', 'piano rock', 'pixie', 'pop punk', 'pop rock']",63
5lKZWd6HiSCLfnDGrq9RAm,Leona Lewis,2786201,"['british soul', 'dance pop', 'europop', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']",73
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,7654775,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",79
1bj5GrcLom5gZFF5t949Xl,Martin Solveig,1173387,"['dance pop', 'disco house', 'edm', 'electro house', 'filter house', 'house', 'pop dance', 'tropical house', 'vocal house']",73
6V03b3Y36lolYP2orXn8mV,98º,317799,"['boy band', 'dance pop']",60
5DK8eK7fjvRsziXzyr3sFA,Moon Taxi,160571,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",61
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,27786326,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",96
6LqNN22kT3074XbTVUrhzX,Kesha,6372349,"['dance pop', 'electropop', 'pop', 'post-teen pop']",82
1LOB7jTeEV14pHai6EXSzF,Cash Cash,596789,"['dance pop', 'edm', 'electro house', 'electropop', 'electropowerpop', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'tropical house']",74
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,19797346,"['dance pop', 'pop', 'post-teen pop']",89
3cjEqqelV9zb4BYE3qDQ4O,EXO,7796083,"['k-pop', 'k-pop boy group']",77
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,16586266,"['rap', 'slap house']",95
0LyfQWJT6nXafLPZqxe9Of,Various Artists,1175894,[],0
57WHJIHrjOE3iAxpihhMnp,Louis Tomlinson,4994296,"['pop', 'post-teen pop']",76
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,6219536,"['east coast hip hop', 'hip hop', 'pop rap', 'rap']",88
6hIZBf6t4Yy8Lrqj7vPYTr,Jake Zyrus,12607,['opm'],31
25uiPmTg16RbhZWAqwLBy5,Charli XCX,2325341,"['art pop', 'candy pop', 'dance pop', 'electropop', 'escape room', 'hyperpop', 'metropopolis', 'pop', 'post-teen pop', 'uk pop']",80
73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,3023687,"['belgian dance', 'belgian edm', 'big room', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']",79
1URnnhqYAYcrqrcwql10ft,21 Savage,9627152,"['atl hip hop', 'rap', 'trap']",90
5he5w2lnU9x7JFhnwcekXX,Skrillex,7812631,"['brostep', 'complextro', 'edm', 'electro']",82
1vCWHaC5f2uS3yhpwWbIA6,Avicii,19767210,"['dance pop', 'edm', 'pop', 'pop dance']",87
2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,2314357,"['opm', 'pinoy reggae', 'pinoy rock']",68
1KCSPY1glIKqW2TotWuXOR,P!nk,10966832,"['dance pop', 'pop', 'post-teen pop']",88
2AQjGvtT0pFYfxR3neFcvz,Jordin Sparks,1766669,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'r&b', 'urban contemporary']",69
7FgMLbnZVrEnir95O0YujA,Five For Fighting,643525,"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock']",64
1YlibpAvhJBbMZMBwN1KGv,The Juans,570991,['opm'],60
3XEHRbR9NMWfNzQ6TQMS9M,Caleb Santos,31836,"['acoustic opm', 'opm']",52
7LvDTuFCBv08xm6u1pOMK0,TJ Monterde,653741,"['opm', 'pinoy singer-songwriter']",60
7tYKF4w9nC0nq9CsPZTHyP,SZA,5326088,"['pop', 'pop rap', 'r&b']",92
09Xydf4dlkr29dH99DmsvQ,Janine Teñoso,188973,"['opm', 'pinoy singer-songwriter']",51
1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,1121458,"['opm', 'pinoy rock', 'pop rock']",63
1PbBg2aYjWLKRk84zJK15x,Echosmith,569842,"['dance pop', 'electropop', 'indie poptimism', 'pop rock']",65
4kYSro6naA4h99UJvo89HB,Cardi B,16282183,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'rap']",90
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,13657944,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",92
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,2653230,"['canadian contemporary r&b', 'pop', 'r&b']",90
0eecdvMrqBftK0M1VKhaF4,CNCO,7690395,"['boy band', 'latin', 'latin pop', 'reggaeton']",79
3AVfmawzu83sp94QW7CEGm,Astrid S,855323,"['alt z', 'dance pop', 'electropop', 'indie cafe pop', 'norwegian pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",77
4YXycRbyyAE0wozTk7QMEq,Matoma,638607,"['dance pop', 'edm', 'electro house', 'electropop', 'norwegian pop', 'pop', 'pop dance', 'pop edm', 'tropical house']",74
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,27530823,"['emo rap', 'miami hip hop']",93
4kI8Ie27vjvonwaB2ePh8T,Portugal. The Man,1225977,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']",72
7cTXfwpe9peK0UE1bZyIWZ,Pinkfong,112365,"['cartoon', ""children's music"", 'dong-yo']",71
6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,2189326,"['dance pop', 'dutch house', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'slap house', 'tropical house']",84
2JyWXPbkqI5ZJa3gwqVa0c,Craig David,676913,"['british soul', 'dance pop', 'pop rap', 'r&b', 'urban contemporary']",72
6DIS6PRrLS3wbnZsf7vYic,WALK THE MOON,1772189,"['dance pop', 'dance rock', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",75
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,8811003,"['emo', 'modern rock', 'pop punk']",84
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,5609377,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",88
6fOMl44jA4Sp5b9PpYCkzz,NF,5466740,"['hip hop', 'pop rap', 'rap']",88
3wyVrVrFCkukjdVIdirGVY,Lil Pump,7686893,"['emo rap', 'miami hip hop', 'rap', 'trap', 'vapor trap']",75
2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,691300,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",78
3hyEbRtp617pNCuuQjyOmc,Lost Kings,308773,"['alt z', 'dance pop', 'edm', 'electro house', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'pop rap', 'tropical house']",67
2iB7AJhJmkWkkehY9ccB0j,Ex Battalion,2029901,"['opm', 'pinoy hip hop', 'pinoy r&b', 'tagalog rap']",62
7dGJo4pcD2V6oG8kP0tJRR,Eminem,44431276,"['detroit hip hop', 'hip hop', 'rap']",95
7eCmccnRwPmRnWPw61x6jM,SHY Martin,231031,"['alt z', 'electropop', 'indie cafe pop', 'pop', 'swedish electropop']",71
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,2960963,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",80
1z4g3DjTBBZKhvAroFlhOM,Red Velvet,5319886,"['k-pop', 'k-pop girl group']",77
5ebPSE9YI5aLeZ1Z2gkqjn,Clara Benin,95339,"['opm', 'pinoy indie', 'pinoy singer-songwriter']",55
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,6678807,"['dance pop', 'pop', 'urban contemporary']",81
5fMUXHkw8R8eOP2RNVYEZX,Diplo,2392621,"['bmore', 'dance pop', 'edm', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']",88
47z7ZrgFoBvVpCnElCE3Zh,Yellow Claw,962632,"['bass trap', 'edm', 'electro house', 'electronic trap', 'pop dance']",70
7FNnA9vBm6EKceENgCGRMb,Anitta,10552985,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",84
3EXdLajEO02ziZ90P90bSW,Lil Xan,2161666,"['emo rap', 'underground hip hop', 'vapor trap']",68
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,2045030,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",85
4GBFKKuwmZUnAJt6nBal7A,Kamikazee,811701,"['opm', 'pinoy pop punk', 'pinoy rock']",60
1EHAbA1GMYOfkh9ds9eNfS,Jose Mari Chan,267559,"['classic opm', 'opm', 'soft rock']",55
2G7VQ1kVhVfNagytlousgm,Al James,392653,"['opm', 'pinoy alternative rap', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap', 'tagalog rap']",57
4sj6D0zlMOl25nprDJBiU9,Andy Williams,356210,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",63
