playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
4q0IcVcYrtd4ywkApyPdEF,Jukebox OPM Hits,154,urypoa3n9xwn10y45s40tqycl,Wowie,3551
4w16qpolmadIEl2zePIvRt,OPM Old Tagalog Love songs 💕,61,12147883863,Sha Ne,3423
7oE3tpwP0ie5ufDNYm37F5,OPM Songs for Sleeping 😴,267,sweetytine109,sweetytine,3416
3RwCPlGIT7PCppwig8Paky,2000's OPM Band Hits,118,mmanangu,KurkY,3309
1e6NHIXiW7qMbtRJvPOZkQ,"Nina, MYMP, Freestyle & OPM's",167,644supamg8otzn4av2zcujfh1,bernbern,3171
70gTBeBK2snCCDReKwmb6N,Pampatulog Non-Stop OPM Songs,37,21lml3tembx557l45adju5joy,Mark Anthony Doroja,3166
7zN0qkqNtc3agtxPqPk3Cp,filipino OPM indie ,39,22uhbzzn56pdudxxsrupxepeq,hi,3125
070nfjJEYA2WYT5W2gUueh,Wish 107.5 OPM,163,tnusog,tnusog,3080
4iMve9EexOaKNXE6D689UZ,OPM Sad Songs 2021 😢,74,jyhra99st5nhex8kfo4um2dh7,buntala,3028
2lbv28JZgXPdpmcR58mpdW,Pinoy OPM Hits (80's-90's),203,12139933915,Aga Agaton,2921
2KeHBVdstYImxhQLleAEvQ,SENTI OPM HITS,231,dxvyi44fvki1qfw8infcf1qgn,EmerSonic83,2655
0rKH1hPSkwRKDNmakmr8Ic,Tagalog Opm lovesongs,62,96ethnarchy,96ethnarchy,2403
1PgAR8cVzxu3bcsWsVxyOY,BEST OF OPM RAP SONGS ,125,12144970773,Jowie Orale,2366
5BYDziaKqhF2FvJR1h97MB,Opm acoustic covers,51,12177596513,Feb Afan Antolin,2223
1UfJa5ahtA0gVtcT09kkAV,Classic OPM Rock,89,3rt1426lh51lscwl32e3ksaqz,Content,1622
5k16B1Vb5xN3MFGRDmFjTh,OPM Love Songs,50,31rdxy2cnyr5kpgf2ffp2q2vtyhu,Raymart Prado,1502
4mDYPRM13FIcuDH66p3YXt,rainy days opm 🌧,53,keyssie_,Kissie Goyongco,1413
2G2NE80HkxP2burQVXspPH,OPM HIPHOP 2021,72,12136420226,Zyrus Jermia,1407
51pNMfyjK9Hso2TMbykyDb,Classic OPM Love Songs,150,12163510916,Giancarlo Fernando,1335
7qdfrnAwLPCp74YlPtXlbT,OPM Road Trip 2021 🚗,74,jyhra99st5nhex8kfo4um2dh7,buntala,1221
78MEF6p26kMm6FgcAwCR1C,Morning OPM,49,c8v14904xzg7yt7ze79zud0kx,Aaronsamar,1154
0Fmxj53t8gSQC0rSCh2WyE,Saxophone (OPM Instrumentals),63,21mj6siba5bhx7mqyigqxul2a,Isan Mamaril,1006
0EiM6hW3bK7HkyKVwUgGBS,MYMP SONGS (OPM),21,31bywzhnnwuwgrtv6np2ewo7iksi,Trixy Pao,847
7rL2g9tW955ag9dh6rRkNv,OPM  & CHILL VIBES 🇵🇭,117,12138237240,Gyra Jannin,787
0g2j1bbUOjMICw3zlWO3am,Acoustic OPM 90s,101,12182753957,Ac Suñga,771
2VZpaNoik8X2M0Bxv4VTOI,chill OPM midnight playlist,30,mkiizatzmhxb6zlewzqivhb0m,lalunaeya,708
0Ld6DilL37Acd2l4wnZbem,Acoustic OPM lovesongs,180,shella_magpantaymd,Doc_shella,465
